Algorithm,Accuracy,Time,Run
knn,0.8386257157730349,166238,1
DecisionTree,0.8391462779802187,18257,1
DecisionTreeSpark,0.862051015096304,2033,1
RandomForest,0.8006246746486205,28901,1
RandomForestSpark,0.7324310255075481,1524,1
knn,0.8417490890161374,152685,2
DecisionTree,0.8245705361790734,13419,2
DecisionTreeSpark,0.7464862051015096,628,2
RandomForest,0.831858407079646,20580,2
RandomForestSpark,0.8641332639250391,802,2
knn,0.8282144716293597,148399,3
DecisionTree,0.8157209786569495,14543,3
DecisionTreeSpark,0.8349817803227486,1428,3
RandomForest,0.8006246746486205,20368,3
RandomForestSpark,0.7433628318584071,708,3
knn,0.8355023425299323,146143,4
DecisionTree,0.8157209786569495,15204,4
DecisionTreeSpark,0.7464862051015096,652,4
RandomForest,0.8006246746486205,14858,4
RandomForestSpark,0.8584070796460177,767,4
knn,0.8355023425299323,146116,5
DecisionTree,0.8157209786569495,15416,5
DecisionTreeSpark,0.8604893284747527,719,5
RandomForest,0.8006246746486205,14705,5
RandomForestSpark,0.7251431546069755,699,5
knn,0.8412285268089537,147663,6
DecisionTree,0.8157209786569495,15057,6
DecisionTreeSpark,0.8604893284747527,603,6
RandomForest,0.8006246746486205,17147,6
RandomForestSpark,0.8610098906819365,713,6
knn,0.836022904737116,146539,7
DecisionTree,0.8157209786569495,14139,7
DecisionTreeSpark,0.8610098906819365,673,7
RandomForest,0.8006246746486205,17695,7
RandomForestSpark,0.737116085372202,707,7
knn,0.8313378448724622,146584,8
DecisionTree,0.8245705361790734,13073,8
DecisionTreeSpark,0.862051015096304,584,8
RandomForest,0.8006246746486205,12930,8
RandomForestSpark,0.8407079646017699,694,8
knn,0.8375845913586674,146285,9
DecisionTree,0.8245705361790734,13868,9
DecisionTreeSpark,0.6928682977615825,622,9
RandomForest,0.8006246746486205,12359,9
RandomForestSpark,0.8651743883394065,645,9
knn,0.8344612181155648,146454,10
DecisionTree,0.8391462779802187,16124,10
DecisionTreeSpark,0.8198854763144195,601,10
RandomForest,0.8006246746486205,17920,10
RandomForestSpark,0.862051015096304,631,10
