Algorithm,Accuracy,Time,Run
knn,0.8349817803227486,159063,1
DecisionTree,0.8396668401874023,19996,1
DecisionTreeSpark,0.7116085372201978,2198,1
RandomForest,0.8079125455491931,10623,1
RandomForestSpark,0.8615304528891202,1598,1
knn,0.84487246225924,151827,2
DecisionTree,0.8443519000520562,17189,2
DecisionTreeSpark,0.7584591358667361,819,2
RandomForest,0.8079125455491931,11880,2
RandomForestSpark,0.7516918271733473,738,2
knn,0.836022904737116,153837,3
DecisionTree,0.8396668401874023,14741,3
DecisionTreeSpark,0.862051015096304,763,3
RandomForest,0.8079125455491931,9779,3
RandomForestSpark,0.7131702238417491,910,3
knn,0.842790213430505,159725,4
DecisionTree,0.8370640291514836,14339,4
DecisionTreeSpark,0.8604893284747527,644,4
RandomForest,0.8079125455491931,13670,4
RandomForestSpark,0.7246225923997918,676,4
knn,0.8464341488807913,154897,5
DecisionTree,0.8396668401874023,15662,5
DecisionTreeSpark,0.7287870900572618,565,5
RandomForest,0.8079125455491931,12902,5
RandomForestSpark,0.8485163977095262,724,5
knn,0.8495575221238938,154292,6
DecisionTree,0.8537220197813639,16185,6
DecisionTreeSpark,0.8198854763144195,589,6
RandomForest,0.8079125455491931,9961,6
RandomForestSpark,0.7381572097865695,618,6
knn,0.8459135866736075,152693,7
DecisionTree,0.8370640291514836,16515,7
DecisionTreeSpark,0.7464862051015096,601,7
RandomForest,0.8079125455491931,10603,7
RandomForestSpark,0.7272254034357105,688,7
knn,0.8370640291514836,149558,8
DecisionTree,0.8537220197813639,14706,8
DecisionTreeSpark,0.7116085372201978,594,8
RandomForest,0.8079125455491931,10268,8
RandomForestSpark,0.8396668401874023,638,8
knn,0.846954711087975,152457,9
DecisionTree,0.8537220197813639,13463,9
DecisionTreeSpark,0.8610098906819365,544,9
RandomForest,0.8110359187922956,7852,9
RandomForestSpark,0.724102030192608,611,9
knn,0.8511192087454451,149328,10
DecisionTree,0.8537220197813639,12828,10
DecisionTreeSpark,0.7574180114523685,552,10
RandomForest,0.8079125455491931,8613,10
RandomForestSpark,0.7771993753253513,617,10
