Algorithm,Accuracy,Time,Run
knn,0.8245705361790734,157900,1
DecisionTree,0.8391462779802187,13927,1
DecisionTreeSpark,0.859968766267569,1628,1
RandomForest,0.8006246746486205,10887,1
RandomForestSpark,0.8365434669442998,1254,1
knn,0.8396668401874023,149404,2
DecisionTree,0.8178032274856846,11623,2
DecisionTreeSpark,0.8641332639250391,1120,2
RandomForest,0.8006246746486205,7550,2
RandomForestSpark,0.831858407079646,723,2
knn,0.8334200937011973,146235,3
DecisionTree,0.8178032274856846,10046,3
DecisionTreeSpark,0.8266527850078085,486,3
RandomForest,0.8006246746486205,5968,3
RandomForestSpark,0.7516918271733473,983,3
knn,0.8308172826652785,143807,4
DecisionTree,0.8178032274856846,9794,4
DecisionTreeSpark,0.8641332639250391,477,4
RandomForest,0.8006246746486205,8507,4
RandomForestSpark,0.7324310255075481,662,4
knn,0.831858407079646,144499,5
DecisionTree,0.8178032274856846,9306,5
DecisionTreeSpark,0.7038001041124414,462,5
RandomForest,0.8006246746486205,7172,5
RandomForestSpark,0.855804268610099,643,5
knn,0.8349817803227486,144037,6
DecisionTree,0.8178032274856846,9980,6
DecisionTreeSpark,0.8625715773034878,481,6
RandomForest,0.8006246746486205,10363,6
RandomForestSpark,0.8604893284747527,658,6
knn,0.8355023425299323,143132,7
DecisionTree,0.8391462779802187,10013,7
DecisionTreeSpark,0.706923477355544,460,7
RandomForest,0.8401874023945861,5754,7
RandomForestSpark,0.7548152004164498,657,7
knn,0.8375845913586674,142917,8
DecisionTree,0.8178032274856846,9774,8
DecisionTreeSpark,0.8266527850078085,435,8
RandomForest,0.8006246746486205,7027,8
RandomForestSpark,0.855804268610099,634,8
knn,0.8365434669442998,143685,9
DecisionTree,0.8391462779802187,10355,9
DecisionTreeSpark,0.8641332639250391,470,9
RandomForest,0.8006246746486205,8798,9
RandomForestSpark,0.7657470067673087,638,9
knn,0.8401874023945861,143759,10
DecisionTree,0.8391462779802187,10307,10
DecisionTreeSpark,0.8625715773034878,437,10
RandomForest,0.8266527850078085,5610,10
RandomForestSpark,0.8615304528891202,629,10
knn,0.8453930244664237,143677,11
DecisionTree,0.8178032274856846,9269,11
DecisionTreeSpark,0.8641332639250391,480,11
RandomForest,0.7834461218115565,6379,11
RandomForestSpark,0.8636127017178553,647,11
knn,0.8401874023945861,142694,12
DecisionTree,0.8178032274856846,9711,12
DecisionTreeSpark,0.8245705361790734,434,12
RandomForest,0.8006246746486205,6510,12
RandomForestSpark,0.7339927121290994,610,12
knn,0.8355023425299323,142310,13
DecisionTree,0.8178032274856846,9879,13
DecisionTreeSpark,0.7038001041124414,437,13
RandomForest,0.8006246746486205,7751,13
RandomForestSpark,0.7522123893805309,628,13
knn,0.8412285268089537,142073,14
DecisionTree,0.8178032274856846,9379,14
DecisionTreeSpark,0.7038001041124414,439,14
RandomForest,0.8006246746486205,6652,14
RandomForestSpark,0.7647058823529411,655,14
knn,0.8308172826652785,142886,15
DecisionTree,0.8391462779802187,9905,15
DecisionTreeSpark,0.7038001041124414,471,15
RandomForest,0.8006246746486205,6295,15
RandomForestSpark,0.7407600208224883,595,15
knn,0.8396668401874023,141504,16
DecisionTree,0.8178032274856846,9778,16
DecisionTreeSpark,0.859968766267569,461,16
RandomForest,0.8006246746486205,7883,16
RandomForestSpark,0.8651743883394065,612,16
knn,0.8401874023945861,141455,17
DecisionTree,0.8178032274856846,9325,17
DecisionTreeSpark,0.8625715773034878,440,17
RandomForest,0.8006246746486205,6428,17
RandomForestSpark,0.7516918271733473,628,17
knn,0.8334200937011973,141890,18
DecisionTree,0.8391462779802187,10135,18
DecisionTreeSpark,0.7225403435710568,447,18
RandomForest,0.8006246746486205,6865,18
RandomForestSpark,0.7683498178032275,609,18
knn,0.8412285268089537,141797,19
DecisionTree,0.8391462779802187,10168,19
DecisionTreeSpark,0.7038001041124414,456,19
RandomForest,0.8006246746486205,6109,19
RandomForestSpark,0.8511192087454451,626,19
knn,0.8375845913586674,142069,20
DecisionTree,0.8391462779802187,10091,20
DecisionTreeSpark,0.7194169703279542,450,20
RandomForest,0.8006246746486205,4582,20
RandomForestSpark,0.8479958355023425,649,20
